#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,Toronto FC,69,2.03,,34,20,5,9,74,37,37,,13-1-3,,7-4-6
2,New York City FC,57,1.68,,34,16,9,9,56,43,13,,10-2-5,,6-7-4
3,Chicago Fire,55,1.62,,34,16,11,7,61,47,14,,12-2-3,,4-9-4
4,Atlanta United FC,55,1.62,,34,15,9,10,70,40,30,,11-3-3,,4-6-7
5,Columbus Crew SC,54,1.59,,34,16,12,6,53,49,4,,12-3-2,,4-9-4
6,Portland Timbers,53,1.56,,34,15,11,8,60,50,10,,11-2-4,,4-9-4
7,Seattle Sounders FC,53,1.56,,34,14,9,11,52,39,13,,11-1-5,,3-8-6
8,Vancouver Whitecaps FC,52,1.53,,34,15,12,7,50,49,1,,9-3-5,,6-9-2
9,New York Red Bulls,50,1.47,,34,14,12,8,53,47,6,,9-2-6,,5-10-2
10,Houston Dynamo,50,1.47,,34,13,10,11,57,45,12,,12-1-4,,1-9-7
11,Sporting Kansas City,49,1.44,,34,12,9,13,40,29,11,,10-1-6,,2-8-7
12,San Jose Earthquakes,46,1.35,,34,13,14,7,39,60,-21,,10-2-5,,3-12-2
13,FC Dallas,46,1.35,,34,11,10,13,48,48,0,,8-2-7,,3-8-6
14,Real Salt Lake,45,1.32,,34,13,15,6,49,55,-6,,9-4-4,,4-11-2
15,New England Revolution,45,1.32,,34,13,15,6,53,61,-8,,12-2-3,,1-13-3
16,Philadelphia Union,42,1.24,,34,11,14,9,50,47,3,,10-4-3,,1-10-6
17,Montreal Impact,39,1.15,,34,11,17,6,52,58,-6,,8-8-1,,3-9-5
18,Orlando City SC,39,1.15,,34,10,15,9,39,58,-19,,7-5-5,,3-10-4
19,Minnesota United FC,36,1.06,,34,10,18,6,47,70,-23,,7-6-4,,3-12-2
20,Colorado Rapids,33,0.97,,34,9,19,6,31,51,-20,,8-5-4,,1-14-2
21,D.C. United,32,0.94,,34,9,20,5,31,60,-29,,6-8-3,,3-12-2
22,LA Galaxy,32,0.94,,34,8,18,8,45,67,-22,,3-9-5,,5-9-3
