Club,GP,G,A,SHTS,SOG,FC,FS,OFF,CK,PKG,PKA
New York Red Bulls,30,38,31,365,137,392,278,107,143,4,5
Kansas City Wizards,30,36,32,393,169,341,374,69,150,2,2
Colorado Rapids,30,44,35,354,141,293,321,67,128,4,4
Columbus Crew,30,40,26,364,137,314,364,103,141,5,7
New England Revolution,30,32,26,326,132,328,336,78,128,1,1
San Jose Earthquakes,30,34,35,329,140,286,305,83,126,3,3
Chicago Fire,30,37,37,295,126,296,348,84,129,2,2
Los Angeles Galaxy,30,44,46,361,146,356,295,68,140,3,4
D.C. United,30,21,9,337,134,322,353,71,144,2,2
Houston Dynamo,30,40,44,326,122,299,330,107,161,3,4
Real Salt Lake,30,45,39,340,135,335,348,95,133,3,4
FC Dallas,30,42,38,367,141,339,352,93,158,8,9
Toronto FC,30,33,32,282,110,351,267,87,98,3,3
Chivas USA,30,31,27,315,117,333,290,86,110,1,1
Seattle Sounders FC,30,39,44,343,134,333,385,84,171,1,2
Philadelphia Union,30,35,35,300,142,357,322,78,147,3,3
