#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,Los Angeles Galaxy,59,1.97,,30,18,7,5,44,26,18,,9-4-2,,9-3-3
2,Real Salt Lake,56,1.87,,30,15,4,11,45,20,25,,11-0-4,,4-4-7
3,New York Red Bulls,51,1.7,,30,15,9,6,38,29,9,,10-3-2,,5-6-4
4,FC Dallas,50,1.67,,30,12,4,14,42,28,14,,8-1-6,,4-3-8
5,Columbus Crew,50,1.67,,30,14,8,8,40,34,6,,10-3-2,,4-5-6
6,Seattle Sounders FC,48,1.6,,30,14,10,6,39,35,4,,8-4-3,,6-6-3
7,Colorado Rapids,46,1.53,,30,12,8,10,44,32,12,,8-2-5,,4-6-5
8,San Jose Earthquakes,46,1.53,,30,13,10,7,34,33,1,,7-5-3,,6-5-4
9,Kansas City Wizards,39,1.3,,30,11,13,6,36,35,1,,7-5-3,,4-8-3
10,Chicago Fire,36,1.2,,30,9,12,9,37,38,-1,,4-4-7,,5-8-2
11,Toronto FC,35,1.17,,30,9,13,8,33,41,-8,,6-3-6,,3-10-2
12,Houston Dynamo,33,1.1,,30,9,15,6,40,49,-9,,6-6-3,,3-9-3
13,New England Revolution,32,1.07,,30,9,16,5,32,50,-18,,7-5-3,,2-11-2
14,Philadelphia Union,31,1.03,,30,8,15,7,35,49,-14,,6-3-6,,2-12-1
15,Chivas USA,28,0.93,,30,8,18,4,31,45,-14,,6-7-2,,2-11-2
16,D.C. United,22,0.73,,30,6,20,4,21,47,-26,,3-11-1,,3-9-3
