Club,GP,G,A,SHTS,SOG,FC,FS,OFF,CK,PKG,PKA
New York Red Bulls,34,50,53,420,153,420,363,125,220,3,5
Sporting Kansas City,34,50,35,488,159,425,416,71,161,4,4
Colorado Rapids,34,44,34,365,134,374,434,83,161,3,4
Columbus Crew,34,43,31,437,144,413,419,117,166,9,9
New England Revolution,34,38,30,420,138,400,444,83,152,6,7
San Jose Earthquakes,34,40,41,460,151,401,351,85,143,1,2
Chicago Fire,34,46,39,475,178,466,405,75,161,2,2
LA Galaxy,34,48,43,395,142,396,452,84,158,4,4
D.C. United,34,49,40,427,151,383,367,98,146,8,10
Portland Timbers,34,40,38,432,142,347,430,119,132,3,5
Vancouver Whitecaps FC,34,35,38,399,131,451,443,79,138,5,7
Houston Dynamo,34,45,41,449,147,396,378,95,185,3,3
Real Salt Lake,34,44,38,429,153,443,411,115,165,5,5
FC Dallas,34,42,45,482,147,414,456,96,170,1,2
Toronto FC,34,36,31,390,141,414,393,62,126,2,2
Chivas USA,34,41,45,426,144,387,391,67,172,0,0
Seattle Sounders FC,34,56,50,443,151,430,408,85,164,6,9
Philadelphia Union,34,44,38,407,135,400,397,81,147,4,4
