#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,Columbus Crew,49,1.63,,30,13,7,10,41,31,10,,9-2-4,,4-5-6
2,Houston Dynamo,48,1.6,,30,13,8,9,39,29,10,,8-1-6,,5-7-3
3,Los Angeles Galaxy,48,1.6,,30,12,6,12,36,31,5,,7-4-4,,5-2-8
4,Seattle Sounders FC,47,1.57,,30,12,7,11,38,29,9,,7-2-6,,5-5-5
5,Chicago Fire,45,1.5,,30,11,7,12,39,34,5,,5-4-6,,6-3-6
6,Chivas USA,45,1.5,,30,13,11,6,34,31,3,,9-3-3,,4-8-3
7,New England Revolution,42,1.4,,30,11,10,9,33,37,-4,,7-4-4,,4-6-5
8,Real Salt Lake,40,1.33,,30,11,12,7,43,35,8,,9-1-5,,2-11-2
9,Colorado Rapids,40,1.33,,30,10,10,10,42,38,4,,8-2-5,,2-8-5
10,D.C. United,40,1.33,,30,9,8,13,43,44,-1,,7-3-5,,2-5-8
11,FC Dallas,39,1.3,,30,11,13,6,50,47,3,,8-3-4,,3-10-2
12,Toronto FC,39,1.3,,30,10,11,9,37,46,-9,,8-3-4,,2-8-5
13,Kansas City Wizards,33,1.1,,30,8,13,9,33,42,-9,,4-6-5,,4-7-4
14,San Jose Earthquakes,30,1,,30,7,14,9,36,50,-14,,6-5-4,,1-9-5
15,New York Red Bulls,21,0.7,,30,5,19,6,27,47,-20,,5-6-4,,0-13-2
