#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,New York Red Bulls,60,1.76,,34,18,10,6,62,43,19,,12-3-2,,6-7-4
2,FC Dallas,60,1.76,,34,18,10,6,52,39,13,,13-2-2,,5-8-4
3,Vancouver Whitecaps FC,53,1.56,,34,16,13,5,45,36,9,,9-6-2,,7-7-3
4,Columbus Crew SC,53,1.56,,34,15,11,8,58,53,5,,9-4-4,,6-7-4
5,Portland Timbers,53,1.56,,34,15,11,8,41,39,2,,8-3-6,,7-8-2
6,LA Galaxy,51,1.5,,34,14,11,9,56,46,10,,12-2-3,,2-9-6
7,Seattle Sounders FC,51,1.5,,34,15,13,6,44,36,8,,11-4-2,,4-9-4
8,Montreal Impact,51,1.5,,34,15,13,6,48,44,4,,11-4-2,,4-9-4
9,Sporting Kansas City,51,1.5,,34,14,11,9,48,45,3,,10-2-5,,4-9-4
10,D.C. United,51,1.5,,34,15,13,6,43,45,-2,,11-3-3,,4-10-3
11,New England Revolution,50,1.47,,34,14,12,8,48,47,1,,9-2-6,,5-10-2
12,Toronto FC,49,1.44,,34,15,15,4,58,58,0,,11-5-1,,4-10-3
13,San Jose Earthquakes,47,1.38,,34,13,13,8,41,39,2,,8-3-6,,5-10-2
14,Orlando City SC,44,1.29,,34,12,14,8,46,56,-10,,7-5-5,,5-9-3
15,Houston Dynamo,42,1.24,,34,11,14,9,42,49,-7,,9-4-4,,2-10-5
16,Real Salt Lake,41,1.21,,34,11,15,8,38,48,-10,,7-4-6,,4-11-2
17,New York City FC,37,1.09,,34,10,17,7,49,58,-9,,6-7-4,,4-10-3
18,Colorado Rapids,37,1.09,,34,9,15,10,33,43,-10,,5-7-5,,4-8-5
19,Philadelphia Union,37,1.09,,34,10,17,7,42,55,-13,,7-7-3,,3-10-4
20,Chicago Fire,30,0.88,,34,8,20,6,43,58,-15,,8-8-1,,0-12-5
