#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,LA Galaxy,67,1.97,,34,19,5,10,48,28,20,,12-0-5,,7-5-5
2,Seattle Sounders FC,63,1.85,,34,18,7,9,56,37,19,,9-4-4,,9-3-5
3,Real Salt Lake,53,1.56,,34,15,11,8,44,36,8,,10-3-4,,5-8-4
4,FC Dallas,52,1.53,,34,15,12,7,42,39,3,,9-5-3,,6-7-4
5,Sporting Kansas City,51,1.5,,34,13,9,12,50,40,10,,9-2-6,,4-7-6
6,Houston Dynamo,49,1.44,,34,12,9,13,45,41,4,,10-3-4,,2-6-9
7,Colorado Rapids,49,1.44,,34,12,9,13,44,41,3,,6-2-9,,6-7-4
8,Philadelphia Union,48,1.41,,34,11,8,15,44,36,8,,7-1-9,,4-7-6
9,Columbus Crew,47,1.38,,34,13,13,8,43,44,-1,,9-3-5,,4-10-3
10,New York Red Bulls,46,1.35,,34,10,8,16,50,44,6,,8-3-6,,2-5-10
11,Chicago Fire,43,1.26,,34,9,9,16,46,45,1,,6-3-8,,3-6-8
12,Portland Timbers,42,1.24,,34,11,14,9,40,48,-8,,9-5-3,,2-9-6
13,D.C. United,39,1.15,,34,9,13,12,49,52,-3,,4-5-8,,5-8-4
14,San Jose Earthquakes,38,1.12,,34,8,12,14,40,45,-5,,5-4-8,,3-8-6
15,Chivas USA,36,1.06,,34,8,14,12,41,43,-2,,5-7-5,,3-7-7
16,Toronto FC,33,0.97,,34,6,13,15,36,59,-23,,5-4-8,,1-9-7
17,New England Revolution,28,0.82,,34,5,16,13,38,58,-20,,4-7-6,,1-9-7
18,Vancouver Whitecaps FC,28,0.82,,34,6,18,10,35,55,-20,,6-6-5,,0-12-5
