Club,GP,G,A,SHTS,SOG,FC,FS,OFF,CK,PKG,PKA
New York Red Bulls,34,55,54,402,158,400,382,87,166,7,8
Sporting Kansas City,34,48,37,468,160,499,492,79,180,7,8
Colorado Rapids,34,43,28,476,166,392,379,88,173,9,10
Columbus Crew,34,52,46,474,161,411,391,80,177,6,9
New England Revolution,34,51,49,468,180,427,442,54,209,4,5
San Jose Earthquakes,34,35,26,390,126,413,450,53,118,2,3
Chicago Fire,34,41,29,423,148,448,448,66,173,7,11
LA Galaxy,34,69,75,543,201,394,415,55,174,4,8
D.C. United,34,52,49,366,144,429,397,85,136,4,5
Portland Timbers,34,61,50,488,183,451,526,96,176,4,4
Montreal Impact,34,38,38,393,141,457,383,89,146,0,2
Vancouver Whitecaps FC,34,42,35,452,158,434,441,74,162,10,12
Houston Dynamo,34,39,35,450,154,425,384,64,185,3,6
Real Salt Lake,34,54,43,441,166,424,433,64,163,7,8
FC Dallas,34,55,36,386,137,418,442,76,170,7,9
Toronto FC,34,44,38,461,152,425,476,77,169,3,5
Chivas USA,34,29,22,322,102,488,389,52,123,6,7
Seattle Sounders FC,34,65,65,470,187,453,514,63,166,6,7
Philadelphia Union,34,51,47,467,153,413,417,76,211,7,7
