Club,GP,G,A,SHTS,SOG,FC,FS,OFF,CK,PKG,PKA
New York Red Bulls,34,61,64,441,174,450,449,78,185,1,3
Sporting Kansas City,34,42,46,478,146,420,415,62,198,5,5
Colorado Rapids,34,39,44,435,151,458,341,74,131,2,3
Columbus Crew SC,34,50,52,463,167,312,376,104,200,6,7
New England Revolution,34,44,45,474,163,426,428,72,174,3,4
San Jose Earthquakes,34,32,29,409,128,413,482,69,169,3,5
Chicago Fire,34,42,41,394,125,412,398,88,157,2,2
LA Galaxy,34,54,59,358,142,361,394,59,138,4,6
D.C. United,34,53,55,471,163,507,419,95,154,3,4
Portland Timbers,34,48,32,449,154,438,466,77,162,7,9
Montreal Impact,34,49,44,440,161,431,425,66,160,5,6
Vancouver Whitecaps FC,34,45,25,429,175,479,372,55,159,7,8
Houston Dynamo,34,39,34,424,139,411,411,39,164,1,1
Real Salt Lake,34,44,39,420,150,434,450,50,143,6,9
FC Dallas,34,50,41,451,169,443,392,76,162,5,5
Toronto FC,34,51,55,478,164,359,427,79,198,4,6
Seattle Sounders FC,34,44,40,432,153,350,441,58,190,3,4
Philadelphia Union,34,52,43,425,167,389,444,49,183,6,8
Orlando City SC,34,55,46,426,143,457,444,48,179,5,7
New York City FC,34,62,63,463,174,418,394,61,151,6,7
