#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,New York Red Bulls,59,1.74,,34,17,9,8,58,41,17,,11-2-4,,6-7-4
2,Sporting Kansas City,58,1.71,,34,17,10,7,47,30,17,,9-5-3,,8-5-4
3,Portland Timbers,57,1.68,,34,14,5,15,54,33,21,,11-1-5,,3-4-10
4,Real Salt Lake,56,1.65,,34,16,10,8,57,41,16,,10-3-4,,6-7-4
5,LA Galaxy,53,1.56,,34,15,11,8,53,38,15,,11-2-4,,4-9-4
6,Seattle Sounders FC,52,1.53,,34,15,12,7,42,42,0,,10-2-5,,5-10-2
7,New England Revolution,51,1.5,,34,14,11,9,49,38,11,,8-5-4,,6-6-5
8,Colorado Rapids,51,1.5,,34,14,11,9,45,38,7,,10-3-4,,4-8-5
9,Houston Dynamo,51,1.5,,34,14,11,9,41,41,0,,9-4-4,,5-7-5
10,San Jose Earthquakes,51,1.5,,34,14,11,9,35,42,-7,,11-1-5,,3-10-4
11,Montreal Impact,49,1.44,,34,14,13,7,50,49,1,,10-4-3,,4-9-4
12,Chicago Fire,49,1.44,,34,14,13,7,47,52,-5,,10-4-3,,4-9-4
13,Vancouver Whitecaps FC,48,1.41,,34,13,12,9,53,45,8,,9-3-5,,4-9-4
14,Philadelphia Union,46,1.35,,34,12,12,10,42,44,-2,,7-5-5,,5-7-5
15,FC Dallas,44,1.29,,34,11,12,11,48,52,-4,,9-3-5,,2-9-6
16,Columbus Crew,41,1.21,,34,12,17,5,42,46,-4,,7-7-3,,5-10-2
17,Toronto FC,29,0.85,,34,6,17,11,30,47,-17,,4-5-8,,2-12-3
18,Chivas USA,26,0.76,,34,6,20,8,30,67,-37,,5-8-4,,1-12-4
19,D.C. United,16,0.47,,34,3,24,7,22,59,-37,,3-10-4,,0-14-3
