Club,GP,G,A,SHTS,SOG,FC,FS,OFF,CK,PKG,PKA
New York Red Bulls,34,57,56,394,153,410,351,77,148,3,3
Sporting Kansas City,34,42,47,542,158,456,414,54,199,3,4
Colorado Rapids,34,44,41,459,162,415,426,62,145,3,4
Columbus Crew,34,44,39,466,151,412,393,111,149,2,3
New England Revolution,34,39,31,455,178,360,483,68,154,2,2
San Jose Earthquakes,34,72,73,517,192,440,410,91,185,6,8
Chicago Fire,34,46,39,460,163,349,421,75,158,2,3
LA Galaxy,34,59,61,480,179,421,391,67,188,3,4
D.C. United,34,53,52,451,163,390,390,106,157,1,2
Portland Timbers,34,34,28,421,133,388,403,86,172,0,0
Montreal Impact,34,45,43,443,156,427,417,114,143,9,9
Vancouver Whitecaps FC,34,35,35,355,116,481,510,91,139,1,1
Houston Dynamo,34,48,48,424,157,372,377,81,136,6,7
Real Salt Lake,34,46,43,417,151,444,390,90,146,4,4
FC Dallas,34,42,33,403,140,420,504,72,160,2,5
Toronto FC,34,36,41,419,140,428,358,76,172,0,2
Chivas USA,34,24,28,397,120,424,431,56,179,3,3
Seattle Sounders FC,34,51,52,439,141,442,438,80,158,2,2
Philadelphia Union,34,37,23,377,112,464,435,93,172,5,6
