Club,GP,G,A,SHTS,SOG,FC,FS,OFF,CK,PKG,PKA
New York Red Bulls,34,58,57,404,145,437,353,96,139,3,3
Sporting Kansas City,34,47,43,501,155,511,452,50,171,4,4
Colorado Rapids,34,45,39,460,141,426,401,71,150,3,4
Columbus Crew,34,42,31,479,151,460,435,89,154,6,9
New England Revolution,34,49,45,398,148,440,452,66,155,3,5
San Jose Earthquakes,34,35,37,439,140,411,425,86,201,2,2
Chicago Fire,34,47,39,505,182,394,401,62,176,3,5
LA Galaxy,34,53,53,489,167,386,403,44,217,6,8
D.C. United,34,22,20,400,125,393,411,101,187,2,3
Portland Timbers,34,54,53,445,156,436,450,94,170,3,3
Montreal Impact,34,50,49,417,168,370,480,125,141,4,4
Vancouver Whitecaps FC,34,53,47,438,155,387,406,72,139,6,6
Houston Dynamo,34,41,43,472,143,372,377,69,202,3,5
Real Salt Lake,34,57,50,449,168,400,421,67,165,6,7
FC Dallas,34,48,40,430,152,416,480,93,176,3,4
Toronto FC,34,30,23,344,108,435,432,76,163,2,2
Chivas USA,34,30,22,333,111,465,402,52,130,1,3
Seattle Sounders FC,34,42,36,411,129,446,425,92,169,3,4
Philadelphia Union,34,42,41,459,150,438,417,78,172,0,0
