#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,FC Dallas,60,1.76,,34,17,8,9,50,40,10,,12-1-4,,5-7-5
2,Colorado Rapids,58,1.71,,34,15,6,13,39,32,7,,11-0-6,,4-6-7
3,NY Red Bulls,57,1.68,,34,16,9,9,61,44,17,,13-2-2,,3-7-7
4,New York City FC,54,1.59,,34,15,10,9,62,57,5,,8-3-6,,7-7-3
5,Toronto FC,53,1.56,,34,14,9,11,51,39,12,,8-3-6,,6-6-5
6,LA Galaxy,52,1.53,,34,12,6,16,54,39,15,,8-1-8,,4-5-8
7,Seattle Sounders FC,48,1.41,,34,14,14,6,44,43,1,,10-5-2,,4-9-4
8,Sporting Kansas City,47,1.38,,34,13,13,8,42,41,1,,10-4-3,,3-9-5
9,D.C. United,46,1.35,,34,11,10,13,53,47,6,,9-4-4,,2-6-9
10,Real Salt Lake,46,1.35,,34,12,12,10,44,46,-2,,8-1-8,,4-11-2
11,Montreal Impact,45,1.32,,34,11,11,12,49,53,-4,,7-5-5,,4-6-7
12,Portland Timbers,44,1.29,,34,12,14,8,48,53,-5,,12-3-2,,0-11-6
13,Philadelphia Union,42,1.24,,34,11,14,9,52,55,-3,,8-5-4,,3-9-5
14,New England Revolution,42,1.24,,34,11,14,9,44,54,-10,,9-4-4,,2-10-5
15,Orlando City SC,41,1.21,,34,9,11,14,55,60,-5,,6-4-7,,3-7-7
16,Vancouver Whitecaps FC,39,1.15,,34,10,15,9,45,52,-7,,6-5-6,,4-10-3
17,San Jose Earthquakes,38,1.12,,34,8,12,14,32,40,-8,,7-3-7,,1-9-7
18,Columbus Crew SC,36,1.06,,34,8,14,12,50,58,-8,,6-3-8,,2-11-4
19,Houston Dynamo,34,1,,34,7,14,13,39,45,-6,,5-5-7,,2-9-6
20,Chicago Fire,31,0.91,,34,7,17,10,42,58,-16,,6-3-8,,1-14-2
