#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,San Jose Earthquakes,66,1.94,,34,19,6,9,72,43,29,,10-1-6,,9-5-3
2,Sporting Kansas City,63,1.85,,34,18,7,9,42,27,15,,10-3-4,,8-4-5
3,D.C. United,58,1.71,,34,17,10,7,53,43,10,,12-1-4,,5-9-3
4,New York Red Bulls,57,1.68,,34,16,9,9,57,46,11,,11-2-4,,5-7-5
5,Real Salt Lake,57,1.68,,34,17,11,6,46,35,11,,11-4-2,,6-7-4
6,Chicago Fire,57,1.68,,34,17,11,6,46,41,5,,11-3-3,,6-8-3
7,Seattle Sounders FC,56,1.65,,34,15,8,11,51,33,18,,11-4-2,,4-4-9
8,LA Galaxy,54,1.59,,34,16,12,6,59,47,12,,10-6-1,,6-6-5
9,Houston Dynamo,53,1.56,,34,14,9,11,48,41,7,,11-0-6,,3-9-5
10,Columbus Crew,52,1.53,,34,15,12,7,44,44,0,,11-3-3,,4-9-4
11,Vancouver Whitecaps FC,43,1.26,,34,11,13,10,35,41,-6,,8-3-6,,3-10-4
12,Montreal Impact,42,1.24,,34,12,16,6,45,51,-6,,10-4-3,,2-12-3
13,FC Dallas,39,1.15,,34,9,13,12,42,47,-5,,6-3-8,,3-10-4
14,Colorado Rapids,37,1.09,,34,11,19,4,44,50,-6,,8-6-3,,3-13-1
15,Philadelphia Union,36,1.06,,34,10,18,6,37,45,-8,,7-8-2,,3-10-4
16,New England Revolution,35,1.03,,34,9,17,8,39,44,-5,,7-4-6,,2-13-2
17,Portland Timbers,34,1,,34,8,16,10,34,56,-22,,7-4-6,,1-12-4
18,Chivas USA,30,0.88,,34,7,18,9,24,58,-34,,3-11-3,,4-7-6
19,Toronto FC,23,0.68,,34,5,21,8,36,62,-26,,3-9-5,,2-12-3
