#,Club,PTS,PPG,,GP,W,L,T,GF,GA,GD,,W-L-T,,W-L-T
1,Seattle Sounders FC,64,1.88,,34,20,10,4,65,50,15,,12-4-1,,8-6-3
2,LA Galaxy,61,1.79,,34,17,7,10,69,37,32,,12-1-4,,5-6-6
3,D.C. United,59,1.74,,34,17,9,8,52,37,15,,11-2-4,,6-7-4
4,Real Salt Lake,56,1.65,,34,15,8,11,54,39,15,,11-1-5,,4-7-6
5,New England Revolution,55,1.62,,34,17,13,4,51,46,5,,11-4-2,,6-9-2
6,FC Dallas,54,1.59,,34,16,12,6,55,45,10,,12-4-1,,4-8-5
7,Columbus Crew,52,1.53,,34,14,10,10,52,42,10,,9-4-4,,5-6-6
8,New York Red Bulls,50,1.47,,34,13,10,11,55,50,5,,10-3-4,,3-7-7
9,Vancouver Whitecaps FC,50,1.47,,34,12,8,14,42,40,2,,9-3-5,,3-5-9
10,Portland Timbers,49,1.44,,34,12,9,13,61,52,9,,5-3-9,,7-6-4
11,Sporting Kansas City,49,1.44,,34,14,13,7,48,41,7,,6-5-6,,8-8-1
12,Philadelphia Union,42,1.24,,34,10,12,12,51,51,0,,6-3-8,,4-9-4
13,Toronto FC,41,1.21,,34,11,15,8,44,54,-10,,7-7-3,,4-8-5
14,Houston Dynamo,39,1.15,,34,11,17,6,39,58,-19,,8-5-4,,3-12-2
15,Chicago Fire,36,1.06,,34,6,10,18,41,51,-10,,4-2-11,,2-8-7
16,Chivas USA,33,0.97,,34,9,19,6,29,61,-32,,6-9-2,,3-10-4
17,Colorado Rapids,32,0.94,,34,8,18,8,43,62,-19,,6-6-5,,2-12-3
18,San Jose Earthquakes,30,0.88,,34,6,16,12,35,50,-15,,5-6-6,,1-10-6
19,Montreal Impact,28,0.82,,34,6,18,10,38,58,-20,,6-6-5,,0-12-5
