Club,GP,G,A,SHTS,SOG,FC,FS,OFF,CK,PKG,PKA
New York Red Bulls,34,53,57,450,164,475,503,73,193,7,8
Sporting Kansas City,34,40,34,514,171,374,433,69,172,2,3
Colorado Rapids,34,31,37,324,107,479,348,61,121,1,2
Columbus Crew SC,34,53,54,400,143,372,384,88,172,4,6
New England Revolution,34,53,53,434,167,435,422,46,174,4,4
San Jose Earthquakes,34,39,42,469,146,366,437,67,163,1,1
Chicago Fire,34,61,64,419,167,393,407,95,149,6,7
LA Galaxy,34,45,37,399,132,426,386,52,175,5,5
D.C. United,34,31,25,402,144,416,413,76,164,2,4
Portland Timbers,34,60,57,480,162,454,408,82,165,9,11
Montreal Impact,34,52,43,419,150,462,387,77,137,6,7
Vancouver Whitecaps FC,34,50,48,392,132,435,419,44,166,3,6
Houston Dynamo,34,57,48,469,167,426,380,40,167,6,8
Real Salt Lake,34,49,44,548,187,445,381,64,212,4,4
FC Dallas,34,48,49,481,167,406,381,72,202,3,4
Toronto FC,34,74,63,441,169,354,372,50,151,7,11
Seattle Sounders FC,34,52,52,500,153,333,493,66,180,5,6
Philadelphia Union,34,50,46,386,146,432,396,52,161,5,7
Orlando City SC,34,39,42,419,142,433,501,49,175,0,1
Minnesota United,34,47,41,338,127,379,448,69,145,3,4
New York City FC,34,56,57,484,180,447,455,69,183,4,6
Atlanta United,34,70,65,438,179,429,417,76,168,4,4
